id;uplatilac;svrha_uplate;primalac;sifra_placanja;valuta;iznos;racun_primaoca;model;poziv_na_broj;datum_kreiranja
1;deploy Kina RSS;Implementation integrated Indiana;withdrawal drive Public-key;Salad;Future-proofed Garden;19407;Alabama Berkshire Granite;microchip red;generate Customer;2023-11-08
2;turquoise withdrawal;Configuration cross-platform system;New Fresh;Pine lime;Chips;88874;Shoals;Sports;override Infrastructure;2023-11-09
3;Rubber;matrix;Cotton;firewall scale Granite;digital;48016;Uzbekistan parsing;Islands Soft Platinum;Handmade Salad B2B;2023-11-08
4;benchmark cultivate Tasty;Loan exuding Keyboard;Fresh Clothing;Internal Generic plug-and-play;Checking Bedfordshire Outlying;33767;connect Pines Carolina;Keyboard bandwidth Analyst;connect bus Personal;2023-11-08
5;Avon;program;Account Massachusetts;quantifying;Music Unbranded open-source;29683;Lead orchid Credit;Designer Manager;Cotton;2023-11-08
6;Markets Pataca;Rustic Centers Peso;Borders lime;Administrator Berkshire superstructure;Mountain parsing;90982;Pennsylvania;Chicken driver;Planner Tennessee communities;2023-11-08
7;Principal Accounts e-markets;Somalia;Wooden firewall program;Health;pink frictionless;44099;River Granite;systemic interface multimedia;channels systems Cotton;2023-11-08
8;maroon Down-sized Soap;interface compress Function-based;engine;generate;Checking Ethiopian;38496;channels Multi-layered;Account;CSS;2023-11-08
9;Division;quantify Brand application;Kids encryption invoice;Marketing;calculating indexing Market;34215;pricing hacking;Trail;deposit strategize;2023-11-08
10;Guernsey data-warehouse revolutionize;Sri Ruble Customizable;Lakes Saudi Markets;Loan Automated;input Jewelery;39062;THX feed back;Tuna SAS Michigan;haptic Specialist Jewelery;2023-11-08
